Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,43.0,1.0,43.0,43.0,0.1,33.5,0.0,0.0,0.005424022674560547,,,,,,,,,,,,,,,,,,,,,5.341047292702527,2.024082983230711,7.670707605442872,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,86.0,2.0,43.0,86.0,0.1,28.5,0.0,0.0,4.1887829303741455,,,,,,,,,,,,,,,,,,,,,4.4774122381898,1.7183198551497105,6.968689115367557,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,130.0,3.0,44.0,130.0,0.1,32.0,0.0,0.0,8.465640783309937,,,,,,,,,,,,,,,,,,,,,4.8906503787581945,2.1898378139946297,7.9769705580536305,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,156.0,4.0,26.0,156.0,0.1,17.5,0.0,0.0,11.327111721038818,,,,,,,,,,,,,,,,,,,,,3.887107430406981,1.8869065892507948,6.937273782451213,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,180.0,5.0,24.0,180.0,0.1,15.5,0.0,0.0,13.877779245376587,,,,,,,,,,,,,,,,,,,,,3.6733070900568845,1.7795748728800729,6.354436441937207,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,210.0,6.0,30.0,210.0,0.1,20.5,0.0,0.0,16.884201526641846,,,,,,,,,,,,,,,,,,,,,4.117158448091356,2.002964608338665,7.332424569823244,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,272.0,7.0,62.0,272.0,0.1,45.5,0.0,0.0,22.887909173965454,,,,,,,,,,,,,,,,,,,,,5.357293504923626,1.8081023998674126,7.607105772123783,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,346.0,8.0,74.0,346.0,0.1,57.5,0.0,0.0,29.943804264068604,,,,,,,,,,,,,,,,,,,,,5.789196567093794,1.9675015607872235,8.052269719520035,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,370.0,9.0,24.0,370.0,0.1,16.0,0.0,0.0,32.3873291015625,,,,,,,,,,,,,,,,,,,,,3.728607090056885,1.857213933359168,6.794436441937207,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,470.0,10.0,100.0,470.0,0.1,71.0,0.0,0.0,41.44776940345764,,,,,,,,,,,,,,,,,,,,,5.567942611781721,1.581006394544143,7.680193851922805,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
